q1,q2,label,rationale
"二甲双胍缓释片怎么吃","二甲双胍缓释片的服用方法",1,"同问题不同表述"
"阿托伐他汀什么时候吃最好","阿托伐他汀的最佳服药时间",1,"同问题"
"二甲双胍会不会伤肾","长期服用二甲双胍对肾脏有影响吗",1,"同问题口语vs书面"
"司美格鲁肽能减肥吗","司美格鲁肽有没有减重效果",1,"同问题"
"吃阿托伐他汀能喝酒吗","服用阿托伐他汀期间可以饮酒吗",1,"同问题"
"二甲双胍饭前吃还是饭后吃","二甲双胍应该餐前还是餐后服用",1,"同问题"
"孕妇能吃二甲双胍吗","妊娠期可以使用二甲双胍吗",1,"同问题术语差异"
"阿托伐他汀会引起肌肉疼吗","吃阿托伐他汀后腿疼是副作用吗",1,"同问题"
"二甲双胍怎么吃","阿托伐他汀怎么吃",0,"不同药品同句式"
"二甲双胍的剂量","二甲双胍的价格",0,"同药不同方面"
"司美格鲁肽能减肥吗","胰岛素能减肥吗",0,"不同药同句式"
"吃阿托伐他汀能喝酒吗","吃阿托伐他汀能吃柚子吗",0,"难负样本：同药同结构不同物质"
"二甲双胍伤肾吗","二甲双胍伤肝吗",0,"难负样本：一字之差"
"孕妇能吃二甲双胍吗","孕妇能吃阿托伐他汀吗",0,"不同药品"
"二甲双胍饭前吃还是饭后吃","二甲双胍一天吃几次",0,"同药不同问题"
"胰岛素怎么保存","胰岛素怎么注射",0,"同药不同问题"
